SITE CODE= éÖãõêÏésàÍÇÃã{
LAT=  37.0388
LON= 137.8633
UNIT  = cm/s/s
INITIAL TIME= 2024 01 01 16 10 10
period,0.005_ns,0.005_ew,0.005_ud,0.005_hz,0.020_ns,0.020_ew,0.020_ud,0.020_hz,0.050_ns,0.050_ew,0.050_ud,0.050_hz,0.200_ns,0.200_ew,0.200_ud,0.200_hz
0.6,1055.2121,1333.1449,281.7596,1690.9038,748.5271,868.8767,182.4999,1142.5655,463.0661,605.4383,114.5973,743.4837,226.7837,267.4324,82.0344,334.4688
0.8,550.4096,683.4092,141.6479,758.2844,373.2675,407.5044,123.5428,502.2754,284.4660,307.3219,118.9917,402.5962,158.1417,204.6458,70.0009,226.4087
1.0,440.1390,282.4398,368.8237,445.4939,261.8773,173.2332,195.4177,268.6611,186.5522,139.8279,132.8310,200.3149,118.7950,110.9774,63.4680,128.8831
1.2,188.8099,180.2022,186.6321,233.3328,159.2588,159.1283,137.7073,191.3209,131.8595,114.6099,101.8441,153.8555,91.1886,92.9120,62.3908,100.8667
1.4,157.9536,206.0119,250.8622,215.5809,147.4732,162.9331,176.4126,184.2357,119.5283,130.9499,132.3567,147.3669,67.5691,81.9206,60.4510,82.3127
1.6,220.9296,359.3141,380.7860,414.8089,172.9953,230.0427,217.2466,236.1091,112.8399,164.5866,126.2430,166.9486,54.8590,91.0458,55.8810,91.0610
1.8,183.0876,185.5274,218.1177,212.8883,121.6029,150.0853,122.4434,158.6357,87.0596,121.5282,82.6333,127.7344,47.0973,80.0229,45.1214,80.3145
2.0,137.2483,81.1827,87.3982,138.9965,90.0447,78.6184,60.4468,113.0444,58.3012,70.9132,52.0759,90.8924,44.0220,63.6994,37.6747,70.6261
2.2,87.0045,136.6510,56.9130,137.6492,63.5963,96.8306,50.2506,103.8067,48.7971,72.0484,42.5688,79.9832,38.3409,53.4404,31.4196,59.6399
2.4,69.1011,147.9687,74.7998,157.9740,61.9613,116.4554,45.5304,122.9428,49.5381,88.7825,33.8191,93.3104,35.0259,47.6494,26.1346,54.6410
2.6,85.5743,175.1476,30.2215,175.7417,88.3304,124.7137,23.5247,129.1837,73.2930,88.8828,22.8665,93.5942,39.6904,44.2534,21.7179,55.3558
