SITE CODE= éÖãõêÏésàÍÇÃã{
LAT=  37.0388
LON= 137.8633
UNIT  = cm/s
INITIAL TIME= 2024 01 01 16 10 10
period,0.005_ns,0.005_ew,0.005_ud,0.005_hz,0.020_ns,0.020_ew,0.020_ud,0.020_hz,0.050_ns,0.050_ew,0.050_ud,0.050_hz,0.200_ns,0.200_ew,0.200_ud,0.200_hz
0.6,106.8721,134.0646,29.6148,168.3470,71.7772,88.5656,20.1017,113.9993,47.1639,65.8584,14.1739,78.9182,26.5562,29.7823,10.2586,39.8273
0.8,74.6879,90.0904,22.4665,105.9202,50.0136,55.1188,17.2451,69.0927,37.3290,38.0067,16.3058,51.5825,19.5069,22.7813,12.1583,28.1111
1.0,70.6063,47.4427,59.5584,71.1598,44.9246,30.6165,32.2668,46.8713,33.9050,24.4897,22.3929,37.0915,19.5336,21.2723,13.2783,21.4853
1.2,40.5448,40.4327,37.2128,46.2178,30.1985,31.2516,27.9825,38.1119,23.6670,23.3151,21.4113,29.5167,17.9421,21.9463,14.9108,22.1397
1.4,32.3402,52.5693,58.5463,53.6455,29.5093,38.5757,40.4024,41.1191,23.3984,33.5426,30.7637,35.0260,15.5586,24.6707,15.7546,24.6904
1.6,60.5403,94.0241,98.8646,108.3641,47.3745,65.0111,56.2348,65.1560,31.2207,46.7394,30.8104,46.8310,15.1351,24.3133,14.5860,24.4177
1.8,55.8778,52.5193,62.7670,62.9086,36.4359,41.3151,34.4128,44.0832,24.3421,33.8837,23.0204,35.1951,15.4348,20.4622,12.2238,21.1051
2.0,48.4858,29.6534,27.4039,49.2402,33.5401,29.4553,18.6661,40.3791,23.5768,24.5955,14.5353,30.1960,16.2598,17.2783,10.2244,20.2987
2.2,30.8126,51.7813,19.8429,52.4058,24.3094,38.3501,15.9463,41.0071,19.8016,28.4883,12.9828,33.1259,16.9572,17.5623,8.5370,20.8681
2.4,32.1109,55.5921,29.1285,61.8667,27.5651,46.8764,16.5224,49.9053,21.8248,35.4452,10.7179,37.9609,17.8769,18.0443,7.0316,21.1067
2.6,35.6945,73.1691,13.9704,73.4270,37.7278,53.0060,10.4102,54.7773,32.6750,38.2960,7.8725,41.4034,18.6886,19.2191,6.1525,21.8751
2.8,76.9867,76.1763,18.7494,94.0016,60.5207,58.9597,12.1632,66.8914,41.8472,41.4950,7.9396,44.0216,18.7007,19.9096,5.6764,23.1874
3.0,66.2867,91.5745,18.5767,97.4529,50.4490,62.6314,13.4432,74.0477,35.4949,42.5067,8.2814,51.0814,18.3345,19.0517,5.2328,22.9443
3.2,33.6169,69.0107,15.4821,73.6459,29.8052,52.4009,12.1986,59.4000,28.0076,36.9954,8.2474,43.3885,17.6400,17.4299,4.7356,22.1241
3.4,47.8597,42.7622,15.8633,49.2871,34.4310,33.3696,11.9368,40.4301,27.2714,26.9123,7.9649,34.7377,16.8878,16.5884,4.7430,21.0074
3.6,44.5438,39.6852,11.4221,44.5508,35.3791,33.7090,8.9035,38.6216,26.9562,26.5437,6.9332,32.3062,16.8170,16.6257,4.6456,19.6217
3.8,61.7442,35.1030,11.7047,64.3850,47.3255,25.4142,9.1182,49.3519,32.5156,22.8523,6.6946,33.5518,17.0525,16.4476,4.4037,18.2991
4.0,68.6158,41.2475,11.4603,77.1625,51.1638,29.2785,9.0070,57.8323,36.5993,21.5150,7.1529,39.5964,16.9986,15.9970,4.1123,17.6074
4.2,72.4093,47.5604,15.7469,80.3383,53.1344,32.8737,11.5794,59.4192,37.4756,22.3372,7.5211,40.0099,16.4345,15.3363,3.9644,16.8601
4.4,50.8015,27.4844,13.0550,54.9070,42.2855,22.9268,9.5313,45.4272,31.3141,20.8643,6.5304,33.1525,15.5284,14.4967,3.9912,15.9427
4.6,38.1745,19.8823,8.7517,42.6066,32.1719,19.8998,8.0265,36.5210,23.8672,19.5039,6.6491,26.9671,15.3313,13.5047,4.1557,15.4826
4.8,40.0117,25.4819,13.2466,46.5035,32.7215,23.2341,10.3667,36.5927,24.0932,19.8906,7.2644,25.7493,15.0313,12.3831,4.3987,15.1720
5.0,35.4886,31.8597,18.0127,42.4911,29.6622,25.3472,11.8254,34.0389,22.1598,19.6978,7.3267,24.6935,14.8109,11.1258,4.5932,14.9443
5.2,37.1273,36.5987,19.5722,50.8548,29.7255,23.4114,13.3706,35.2041,21.7011,17.6310,8.2973,23.9105,14.6702,9.7561,4.6914,14.7940
5.4,36.3539,30.4781,16.0353,42.7411,29.5319,22.5307,10.8407,32.6455,23.3982,16.7170,8.5151,24.6047,14.4978,8.7662,4.6736,14.6061
5.6,31.1481,24.4623,11.7913,31.5607,28.9182,19.8479,9.9807,29.1924,24.5958,14.9416,7.9795,24.7904,14.1772,7.9905,4.5390,14.2669
5.8,31.8693,27.3656,9.5234,34.3202,29.5208,18.2740,8.3909,30.2784,25.0251,14.0130,7.0866,25.0562,13.6480,7.8482,4.5876,13.7231
6.0,37.7267,22.6215,14.7462,39.3691,31.0250,15.8586,10.2230,31.9211,24.9865,12.4501,8.2680,25.1098,12.9143,8.1729,4.7838,12.9840
