SITE CODE= è„âzésíÜÉmñì
LAT=  37.1063
LON= 138.1601
UNIT  = cm/s/s
INITIAL TIME= 2024 01 01 16 10 10
period,0.005_ns,0.005_ew,0.005_ud,0.005_hz,0.020_ns,0.020_ew,0.020_ud,0.020_hz,0.050_ns,0.050_ew,0.050_ud,0.050_hz,0.200_ns,0.200_ew,0.200_ud,0.200_hz
0.6,866.2894,806.2114,291.4960,1166.6133,522.3539,545.7412,201.4240,670.7164,400.2058,414.9750,122.4588,431.3199,208.6991,215.9493,61.2050,231.4649
0.8,345.1991,703.4703,242.0474,706.2262,230.3926,438.5130,132.1045,439.9505,173.2939,288.2739,90.5051,303.5393,149.3937,142.1247,54.4664,166.6985
1.0,701.1060,413.2577,283.7623,706.1795,396.5710,329.9789,153.0520,452.4740,239.9833,242.3424,91.5153,297.3640,126.8049,118.7847,50.2050,143.1327
1.2,177.5987,256.7033,81.9645,256.7914,145.2682,190.4929,85.0750,190.5109,107.2274,131.5453,71.6947,136.7467,83.5010,78.0133,35.9509,95.7555
1.4,149.0868,168.9781,123.6951,195.3546,119.4169,132.4993,94.6962,151.0764,102.2538,100.0807,57.6103,106.9279,64.1090,63.5169,31.9767,79.6758
1.6,202.6053,236.3987,48.0330,273.8138,143.2990,138.3167,43.1033,172.1714,90.6642,90.5857,36.5294,110.5218,47.2520,53.3321,23.9069,67.4211
1.8,127.8082,98.1794,67.8364,133.3916,80.5730,67.3874,45.6977,91.8949,63.2066,54.5136,29.1065,69.1713,40.4168,41.6241,18.2904,57.8751
2.0,147.3243,78.4592,37.8008,158.2599,89.8622,61.4725,29.7811,94.5851,60.2060,43.8528,21.5184,67.4024,35.1589,39.0105,14.2734,52.5163
2.2,112.6469,97.7043,37.4198,129.2142,73.7991,71.2849,26.4258,81.8168,49.8125,50.4273,18.0693,56.2540,30.9800,37.1600,12.9644,46.6870
2.4,76.1029,80.5501,17.7763,82.4371,54.6302,65.1307,16.0753,65.7183,40.9661,47.6936,13.3465,49.8411,25.9598,37.2532,11.5917,40.6406
2.6,45.7915,127.7106,32.1229,127.7559,30.5890,90.0144,21.1655,90.5493,25.2126,57.2885,15.7933,58.1421,21.3507,35.4207,10.4880,35.8360
2.8,32.5057,69.8667,25.8157,71.1198,27.6525,57.3029,19.0781,57.6534,21.8310,44.9337,14.8594,46.5065,19.2648,32.2753,9.3318,32.4567
3.0,50.7522,80.6329,18.8091,80.9973,33.4766,59.0399,16.4527,59.0568,25.2515,40.8381,13.6127,42.2135,18.6523,28.7759,8.9005,28.8289
3.2,40.9992,54.9928,15.8433,68.2620,33.0651,43.6980,13.3623,50.1582,26.6129,37.0836,12.3199,37.4953,17.5443,24.8506,8.8979,24.8531
3.4,32.3767,73.1444,35.0769,74.5623,28.1966,57.1132,22.7003,57.6163,22.1385,38.3550,13.1824,38.3692,15.6143,21.7648,8.7979,22.6823
3.6,28.2004,65.8673,19.2702,66.1498,25.1296,51.5850,16.2962,51.8743,20.4118,34.9750,12.1051,35.1658,13.1725,19.8206,8.8200,20.6528
3.8,46.9332,49.8392,17.8547,51.7127,23.8428,36.1823,15.5652,38.8123,18.0721,27.1526,12.2291,28.0527,12.0941,17.2200,8.8123,17.9779
4.0,25.6829,32.6957,16.6126,33.3317,19.4968,27.3344,13.0863,28.3052,16.3143,21.8002,10.2551,22.6044,11.1750,15.6064,8.7670,15.6168
4.2,17.3673,23.9458,26.5933,27.7302,14.4251,21.0218,15.2942,21.0963,13.3374,17.9051,9.8565,18.0627,10.9319,13.9309,8.6973,13.9606
4.4,22.8782,19.9822,17.4042,23.5028,17.9551,17.2959,12.8116,18.0118,13.8008,14.9212,9.3203,15.1268,10.4639,12.3961,8.5905,12.7683
4.6,30.9201,21.7176,12.4860,33.9689,18.8849,17.8993,11.0497,20.0913,14.1471,14.9842,9.9787,15.2752,9.8591,12.0894,8.4226,12.1125
4.8,18.9277,18.8491,18.4899,19.8152,15.5096,17.1388,13.3581,17.3837,13.2156,14.5182,11.4825,14.6910,9.2071,11.8629,8.1668,11.8685
5.0,38.8637,16.0690,21.5262,39.4659,21.6001,14.8167,17.3144,21.7763,13.5751,12.9358,12.5893,15.0375,8.5684,11.5973,7.8007,11.5973
5.2,27.6448,22.9037,26.3871,30.0557,19.5782,16.3021,19.2143,21.9081,13.6759,12.9915,13.4428,16.2755,8.1455,11.2494,7.3249,11.2558
5.4,26.8371,43.1721,28.8018,47.8488,18.4609,25.3746,19.2500,30.2207,13.1289,14.9732,13.1266,17.7069,7.9520,10.7579,6.7715,10.7827
5.6,22.8911,34.0960,22.3890,40.8812,15.8692,23.4725,17.9688,25.8225,11.1225,15.9768,12.4489,16.3233,7.6880,10.0940,6.2117,10.2539
5.8,15.8336,26.3302,18.1922,26.4065,12.3041,22.2009,14.2760,22.2375,9.3799,16.7389,10.6843,16.7442,7.3527,9.8228,5.9444,9.9570
6.0,16.2715,25.8559,19.1698,26.2736,12.0672,19.2923,10.7102,19.3211,9.5004,15.2762,8.5019,15.2821,6.9585,9.4231,5.6217,9.5323
6.2,15.3345,29.5449,15.8891,29.5571,11.8794,18.6692,12.4359,18.7406,10.1736,12.9191,8.8051,13.0869,6.5539,8.9290,5.2813,9.0150
6.4,27.0839,21.3455,16.5225,27.1567,18.2842,14.8327,13.2225,18.3835,11.7668,11.7790,9.2349,11.8952,6.6778,8.8261,4.9553,8.8853
6.6,28.0011,21.1228,16.7920,32.9866,18.7890,13.3503,13.3069,19.7820,12.4134,10.2536,9.5029,13.0356,6.7800,8.7443,4.8101,8.7754
6.8,21.8444,13.0581,15.1053,24.3075,18.5977,11.6193,12.3904,19.2762,13.8284,9.2701,9.2359,14.3110,6.8142,8.5805,4.7522,8.5913
7.0,26.6474,10.5445,13.3295,26.8532,20.1991,9.7955,10.9280,20.3428,14.4997,8.4411,8.6141,14.6708,6.7505,8.3713,4.7372,8.3724
7.2,29.2928,11.8876,12.2664,29.7529,20.7615,8.8014,9.8054,20.9028,14.4743,7.5226,7.9784,14.5690,6.6231,8.1436,4.7210,8.1438
7.4,23.9117,10.5816,11.3531,24.0066,18.3541,7.8364,9.1728,18.3561,13.4508,6.8706,7.4804,13.5321,6.4958,7.9144,4.7097,7.9430
7.6,16.0351,7.8478,11.6490,16.0402,15.1840,6.8193,8.8296,15.2233,12.2563,6.4425,7.2764,12.2848,6.2788,7.6922,4.7045,7.7515
7.8,16.1644,8.8194,11.5138,17.0409,14.9708,6.8743,8.7866,15.4077,11.8158,6.2810,7.1044,11.8158,6.0384,7.4802,4.7050,7.5653
8.0,22.5612,10.5845,12.5873,23.5648,16.9480,7.8138,8.8483,17.6737,11.8540,6.1261,7.0061,11.8680,5.9084,7.2789,4.7092,7.3851
