SITE CODE= è„âzésíÜÉmñì
LAT=  37.1063
LON= 138.1601
UNIT  = cm/s
INITIAL TIME= 2024 01 01 16 10 10
period,0.005_ns,0.005_ew,0.005_ud,0.005_hz,0.020_ns,0.020_ew,0.020_ud,0.020_hz,0.050_ns,0.050_ew,0.050_ud,0.050_hz,0.200_ns,0.200_ew,0.200_ud,0.200_hz
0.6,85.0346,80.0868,29.5954,113.0288,52.2884,54.6957,20.6595,64.9792,41.4217,42.3914,13.8466,43.9616,25.2549,21.7234,8.1386,25.9769
0.8,49.7759,93.3326,34.6734,93.3391,34.5954,60.2289,20.3700,60.3050,23.6628,41.2926,14.7231,41.6551,21.4226,21.7766,8.2381,25.1294
1.0,112.3812,67.3600,45.0850,113.7218,61.8618,53.6038,24.8233,72.7645,37.9059,40.7043,14.0518,46.2610,18.2157,19.0287,7.7364,21.5675
1.2,35.6617,45.4417,16.0248,45.5788,27.9168,33.8242,16.3963,33.8562,20.0882,23.3104,13.9041,24.0945,13.0328,16.3907,7.6369,16.8275
1.4,35.2861,38.7643,28.1392,43.3455,25.4582,29.8056,21.5932,33.9405,20.5064,24.9857,14.0118,26.7815,12.9001,16.7178,6.9037,16.9789
1.6,52.0556,61.5583,13.2871,71.8081,38.6540,37.7873,11.2696,44.8401,25.7655,24.8672,9.5606,28.8055,10.7974,14.6630,6.0526,14.7186
1.8,38.7612,29.7640,22.3858,40.8969,23.1865,21.1003,15.6140,26.2081,16.2733,17.8647,10.5367,21.6424,10.7553,11.6754,5.5381,12.8374
2.0,48.6731,25.6427,13.5621,51.9246,29.5279,20.1217,10.4983,31.6434,19.9668,15.6788,7.7071,21.8789,9.9063,11.9916,5.3899,12.2380
2.2,40.5777,34.4418,12.9189,44.4136,27.4100,26.6279,9.1801,29.2935,17.4356,19.6064,6.6337,22.1651,8.6729,12.7937,5.1407,12.8263
2.4,26.3369,32.1276,7.0644,33.1750,18.7285,26.6565,6.3128,26.8455,13.3099,18.2809,5.6639,19.4412,8.4297,12.8778,5.0238,12.8782
2.6,19.8320,54.1461,16.3209,54.2519,13.9505,37.6346,10.5087,38.0455,11.7842,23.8068,7.1922,24.3554,8.1018,12.6688,5.1338,12.7413
2.8,13.5480,33.2174,13.1425,34.2169,11.1249,26.2836,9.0543,26.2839,10.3714,20.7427,7.3006,21.5474,7.5626,12.5395,5.1396,12.6660
3.0,25.0492,37.6666,9.4387,38.3378,13.2587,27.7539,7.4184,27.8042,9.7038,17.3756,6.5687,17.5138,7.3062,12.7137,5.2018,12.9625
3.2,19.9286,26.5763,9.3337,32.2254,15.3225,21.9810,7.9167,24.6250,12.5355,19.7066,6.6545,19.7372,7.7008,13.0322,5.5451,13.1845
3.4,18.8597,39.0436,19.7983,39.8951,16.0648,32.3352,12.8469,32.6668,13.2313,24.1601,8.0634,24.1681,7.6997,12.8488,5.8547,12.9518
3.6,16.0770,40.6531,12.8112,40.7778,14.5624,29.7215,11.3254,30.2181,12.1284,21.2915,9.0934,21.7264,7.2684,12.0456,6.0772,12.1249
3.8,30.7795,27.3053,12.0594,30.7795,14.5148,20.8933,10.8823,21.4919,10.4337,14.9834,9.1257,15.1802,6.5464,10.9085,6.2861,10.9596
4.0,16.0763,21.0270,11.7822,22.0169,11.7815,17.1365,9.8485,17.8009,8.6864,12.7552,8.2433,13.0177,6.7015,9.8833,6.4092,9.9000
4.2,11.8474,16.4850,18.1291,19.8496,9.2507,12.9251,11.4599,15.1433,8.8344,9.5875,8.5601,10.0758,6.8510,9.1977,6.5041,9.1980
4.4,17.3443,14.4052,12.8500,17.8399,13.9283,11.8322,9.7714,13.9330,10.7989,9.4388,8.6866,10.8801,6.9174,8.8182,6.5762,8.8219
4.6,23.1487,18.4701,10.3246,25.4866,15.6226,13.5415,9.4770,16.1682,11.7582,9.2173,9.1262,11.7746,6.8824,8.6317,6.7353,8.6446
4.8,15.6418,12.9866,14.4738,16.2935,12.9725,11.3498,11.5481,14.3148,11.6459,8.9176,10.0330,11.6893,6.7538,8.5616,6.9087,8.5838
5.0,31.0973,12.7756,18.4703,31.6616,18.7280,10.5939,15.3670,18.9245,12.2193,8.4535,11.8098,12.9893,6.5656,8.5503,7.0160,8.5815
5.2,24.0246,19.6308,22.6450,25.3438,17.6627,14.6595,17.5661,19.4263,12.1942,11.2614,13.0574,14.4693,6.4777,8.5231,6.9951,8.5649
5.4,23.3919,37.5190,24.6406,41.3489,16.8039,21.8878,17.3165,26.6081,11.8810,13.1627,12.7270,15.8634,6.4544,8.4058,6.8233,8.4612
5.6,20.8995,29.5949,20.1851,35.9678,14.7429,18.7367,16.5825,22.3650,10.2678,14.1167,12.0467,14.1336,6.4651,8.1540,6.5288,8.2276
5.8,14.9713,23.6202,17.1858,23.7593,11.7198,19.5929,13.9270,19.7000,9.1347,14.9801,10.7856,15.0313,6.5206,7.7694,6.1760,7.8682
6.0,16.1735,25.1981,18.3447,25.3918,11.8811,18.9128,11.0802,19.0185,9.3778,14.8841,9.0788,14.9164,6.6215,7.7959,5.8783,7.8058
6.2,16.1159,29.5760,15.6634,29.5766,12.4644,18.1241,12.4538,18.2836,11.0613,13.7184,9.3932,13.7206,6.7605,7.8369,5.6591,7.8650
6.4,27.9995,21.1860,16.6818,28.1325,19.3300,15.0305,13.6232,19.4088,12.9507,12.0381,10.0041,13.0900,7.0455,7.7373,5.4734,7.7937
6.6,29.2336,22.1713,17.5704,34.4248,20.7931,14.2739,14.0510,21.5448,14.2590,10.7745,10.0774,14.6256,7.3091,7.5409,5.3328,7.6354
6.8,24.0742,14.1420,16.3942,26.5314,20.6187,12.7276,13.0779,21.0569,15.9145,10.4908,9.7237,16.2009,7.5102,7.2901,5.2384,7.5786
7.0,29.4573,12.0095,14.8414,29.7596,22.8228,11.3277,11.6038,22.8788,16.8342,9.9432,9.2944,17.0020,7.6236,7.0167,5.1868,7.6766
7.2,33.2774,13.9285,14.0186,33.7990,23.8556,10.3712,10.7093,23.9646,16.9266,9.3735,8.9069,17.0494,7.6419,6.7405,5.1730,7.6807
7.4,28.1018,12.3596,13.3066,28.1257,21.6876,9.4871,10.4775,21.6884,15.9691,8.8152,8.6725,16.0553,7.5706,6.5344,5.1917,7.5975
7.6,19.2453,9.3892,13.9350,19.2857,18.2881,8.4342,10.6341,18.3343,14.8621,8.3012,8.5380,14.8815,7.4232,6.5613,5.2377,7.4401
7.8,19.9557,11.2800,14.1532,21.6045,18.5463,8.6964,10.8320,19.0639,14.5565,7.9715,8.5925,14.6703,7.2125,6.5864,5.3050,7.2570
8.0,28.4279,13.7336,15.9060,30.2690,21.7989,9.9967,10.9381,22.5875,14.7267,8.0055,8.6440,14.9062,6.9457,6.6122,5.3868,7.3357
