SITE CODE= éÏèFéséOçËí¨
LAT=  37.4504
LON= 137.3589
UNIT  = cm/s/s
INITIAL TIME= 2024 01 01 16 09 50
period,0.005_ns,0.005_ew,0.005_ud,0.005_hz,0.020_ns,0.020_ew,0.020_ud,0.020_hz,0.050_ns,0.050_ew,0.050_ud,0.050_hz,0.200_ns,0.200_ew,0.200_ud,0.200_hz
0.6,1838.4725,2316.5988,890.1625,2510.1531,1167.8777,1797.2587,415.3200,1942.9495,785.7070,1283.3578,240.9146,1424.4785,441.5252,637.7734,147.1418,729.4411
0.8,2018.8051,2865.8733,352.8403,3013.1939,1198.9093,2013.8537,253.0904,2100.9534,845.4256,1451.1370,173.6720,1524.6718,425.5013,756.5787,115.1192,775.9723
1.0,1722.7621,1103.9864,336.6888,1761.3062,1039.4085,1038.7546,263.2323,1253.9527,758.1366,941.3173,203.8916,963.8451,327.8941,667.3676,120.5693,676.7608
1.2,527.5768,1206.8008,295.6386,1269.1563,467.0701,981.8698,224.4871,1086.5303,379.5711,750.5573,157.6187,836.9904,228.2248,482.0925,91.3332,493.5763
1.4,376.2365,1076.9397,196.4820,1115.4908,328.5375,688.1548,146.1963,688.1551,277.1473,534.6743,116.5686,544.1939,196.9582,415.6616,77.5024,420.0432
1.6,302.8062,655.8541,192.5023,665.1117,225.6501,574.6715,144.9345,579.5590,196.2635,480.2500,99.5690,482.4587,167.2338,353.2205,63.8575,354.8109
1.8,227.4324,352.8220,126.1230,376.4707,196.5432,325.7283,94.4886,343.1619,170.5772,296.8029,69.3983,306.6680,137.6064,271.1485,56.3026,271.4868
2.0,342.3416,254.8921,121.0649,393.3163,274.7702,229.5737,76.3808,305.5667,192.0825,204.0327,57.8359,225.6532,116.0883,199.5712,50.6212,199.5745
2.2,202.4317,227.0110,82.4279,284.7403,183.4131,200.6417,62.6974,248.1258,151.0005,158.8370,50.5778,198.8449,107.1524,152.3356,45.6640,152.8246
2.4,144.9568,192.2500,56.7798,225.1710,126.8128,172.1411,42.2873,207.2890,105.9336,147.6006,43.0759,178.9220,94.4294,124.7459,43.7954,125.3966
2.6,157.9927,221.9270,88.9323,240.1592,133.0530,179.0363,73.6179,193.9281,114.0506,141.4269,58.9437,168.3420,90.9745,107.5555,42.9816,111.2228
2.8,255.3337,194.1028,129.7291,290.4953,190.7558,169.9207,101.3476,236.5441,137.5942,130.0429,77.7491,177.0989,84.2937,95.7936,42.9051,98.5929
3.0,257.9627,207.2426,119.6486,307.4211,206.2681,162.5244,92.1653,247.4737,144.5293,127.2598,69.8880,174.1736,76.6875,87.4697,41.8174,87.5898
3.2,156.6580,152.6132,82.6397,200.3548,131.5688,123.5609,73.5257,176.6955,104.5076,101.9078,62.0602,143.9835,64.9938,81.0159,37.9960,81.2898
3.4,93.3682,85.2031,84.9511,116.7541,91.2943,76.4418,64.5355,111.3923,81.3845,68.6484,55.6120,102.0822,57.6714,75.1124,36.1215,75.3318
3.6,106.2432,78.1112,104.6554,120.5061,85.5285,59.9496,71.3062,95.0708,69.2163,54.4348,49.6688,85.6907,53.3373,69.0377,33.7926,69.1027
3.8,119.0376,122.8961,63.0943,157.8339,88.2391,81.4841,50.9149,107.0793,65.0977,58.5148,42.2882,82.4281,49.4168,62.7621,30.8848,62.7636
4.0,93.3773,94.4173,45.7082,113.5769,69.5508,80.2648,39.1501,95.8699,51.0404,63.0485,35.5321,74.8706,46.6330,56.7417,28.5731,56.8648
4.2,55.7637,82.5447,48.8753,93.8684,48.9803,72.2368,37.8343,81.7112,40.8399,58.1242,31.8677,67.7539,44.9999,51.5057,27.5193,51.9399
4.4,48.1053,73.5986,55.2849,75.6975,41.7684,51.8754,40.7866,57.2464,39.1979,49.1547,30.1099,53.0748,44.1518,47.2853,26.6007,48.3692
4.6,48.5627,58.1193,40.2699,63.4035,42.2077,46.3228,35.1388,51.7086,37.3552,41.6040,28.3433,42.2182,43.6202,43.9493,25.7304,47.3984
4.8,47.9055,58.8463,37.5270,72.6273,44.7931,47.3616,33.4713,54.0737,41.5432,38.1782,28.9525,42.2541,43.0080,41.2308,24.7859,46.4776
5.0,51.5556,62.2530,38.2965,69.9548,48.0073,49.5704,32.4856,54.2666,43.5399,35.8793,28.4922,43.7896,42.0544,38.8573,23.6851,45.3216
5.2,52.4131,52.1960,43.1901,63.5300,48.2458,41.3245,30.8229,50.3562,43.0561,31.9162,27.3150,43.1567,40.6354,36.6399,22.4123,43.8129
5.4,49.6192,46.4237,36.6059,52.5719,45.4130,36.6577,27.6428,45.5138,40.1360,28.8451,25.1078,40.2256,38.7401,34.4885,21.0028,41.9480
5.6,43.9359,35.2556,26.6627,43.9863,40.0002,28.9684,24.9943,40.0007,35.1985,26.3908,22.5801,35.5701,36.4393,32.3868,19.5139,39.7947
5.8,39.9693,29.0533,24.8444,41.9290,35.1289,22.8471,22.6551,38.9485,31.6668,22.8400,20.5776,35.0613,33.8522,30.5835,18.3752,37.4593
6.0,46.6990,35.9964,23.1674,46.7561,37.5301,22.6182,20.4243,38.2930,30.0229,22.4377,18.8225,33.0675,31.1166,29.9224,17.8064,35.0569
6.2,44.6736,33.0910,30.7056,48.3476,35.9111,23.0460,21.9306,37.1169,30.2068,22.6581,17.0222,32.1008,28.3645,29.2576,17.2187,32.6901
6.4,39.5176,23.6012,32.8869,39.8088,34.3454,22.8592,24.0625,35.1677,29.5019,22.4407,16.8950,31.0080,26.2030,28.5570,16.6265,30.4354
6.6,36.9915,24.7091,28.9090,37.6813,32.4433,22.2026,22.9162,33.6381,27.9901,21.8693,16.0988,29.0855,24.7232,27.8117,16.0394,28.4914
6.8,36.0693,27.7389,22.3037,36.6474,31.7458,21.4824,18.9436,31.8529,27.2653,21.0357,14.9323,27.2700,23.3240,27.0230,15.4637,27.9041
7.0,41.7155,33.4134,15.4527,51.0700,29.7108,23.1592,15.0369,35.6086,26.0424,20.0192,14.4488,26.1127,22.2992,26.1983,14.9037,27.2571
7.2,49.1939,30.8405,14.9209,55.9127,34.8695,22.5208,14.5547,38.8430,25.3287,20.4928,13.9364,26.7290,22.0525,25.3476,14.3621,26.5570
7.4,50.0205,24.0969,14.3418,53.8502,38.0633,22.4895,14.0349,39.2496,25.6771,20.3892,13.5165,26.1974,21.7221,24.4818,13.8408,25.8146
7.6,48.6118,23.1999,13.9675,49.6114,36.8597,21.5641,13.5001,37.3770,24.6576,19.6800,13.0771,25.0740,21.3287,23.6115,13.4895,25.0417
7.8,42.5079,22.0111,15.4746,42.6156,32.5740,20.3635,13.1622,32.5999,22.6832,18.4834,12.6361,23.7892,20.8900,22.7464,13.1813,24.2505
8.0,35.6080,20.8452,17.0048,35.6779,28.1773,19.1069,13.1337,28.2434,22.5687,16.9494,12.2044,23.0401,20.4203,21.8946,12.8689,23.4520
