SITE CODE= éÏèFéséOçËí¨
LAT=  37.4504
LON= 137.3589
UNIT  = cm/s
INITIAL TIME= 2024 01 01 16 09 50
period,0.005_ns,0.005_ew,0.005_ud,0.005_hz,0.020_ns,0.020_ew,0.020_ud,0.020_hz,0.050_ns,0.050_ew,0.050_ud,0.050_hz,0.200_ns,0.200_ew,0.200_ud,0.200_hz
0.6,172.6434,247.3152,87.5000,267.6434,110.3009,199.9268,44.7991,214.6737,81.7093,151.8434,27.9988,165.0378,54.5427,92.5495,19.7830,95.8708
0.8,260.0577,376.7495,53.2347,395.9694,157.2200,277.3978,39.7201,287.2043,118.0586,199.9510,29.1793,207.4270,56.6282,114.2686,19.3269,118.3185
1.0,273.9313,182.7474,55.6579,279.4042,177.0066,172.0824,44.6385,207.3770,131.1196,152.4992,35.6649,156.9764,59.2221,106.1784,24.7442,108.5298
1.2,95.4989,235.2484,58.1683,237.2996,83.7214,182.3705,43.3399,194.4906,66.1202,136.5242,35.9877,149.0420,42.4526,89.6925,25.6436,91.8742
1.4,92.8756,243.6020,44.0729,253.2745,78.6442,157.5245,37.7964,157.9679,65.2578,113.3807,31.3100,114.4245,39.2563,75.1791,23.4492,76.6250
1.6,82.0629,152.3066,50.2607,165.0666,61.0630,129.9865,41.2819,132.2729,52.0274,102.9807,30.0399,104.5701,36.5165,58.7572,20.6977,59.8454
1.8,62.2763,93.2904,35.5416,99.5161,51.4591,83.9179,27.3743,87.5489,45.7254,72.6623,23.8503,74.3972,31.5976,49.7390,19.3498,49.8749
2.0,111.0673,75.0921,39.8986,118.0840,90.5851,61.4540,29.4213,95.7536,65.0305,52.7477,23.1301,77.7264,35.5660,39.1697,17.9935,50.8990
2.2,70.6168,82.9343,29.7554,108.3690,65.8492,76.0604,26.5569,100.2004,58.5746,63.7927,22.8742,85.8918,37.6987,37.2088,17.5298,52.8474
2.4,59.1400,73.8413,22.9094,89.3257,52.9901,67.1043,22.6497,81.8609,50.0037,58.9424,21.8081,74.2679,37.1904,35.9556,18.8260,50.1785
