SITE CODE= 41329éÖãõêÏésàÍÇÃã{          ,37.4962,137.2705, 15.86,7.6,45292.6738723, 12.58, 21.45
 LAT.=   37.0388
 LON.=  137.8633
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 10
 NS,EW,UD
-0.024,-0.037,-0.010
-0.021,-0.040,-0.007
-0.021,-0.025,0.001
-0.018,-0.010,0.011
-0.011,-0.010,0.016
-0.012,-0.018,0.009
-0.023,-0.017,-0.007
-0.032,-0.005,-0.021
-0.025,0.007,-0.019
-0.011,0.005,0.001
-0.004,-0.011,0.022
-0.012,-0.023,0.026
-0.025,-0.025,0.014
-0.030,-0.017,-0.004
-0.020,-0.012,-0.018
-0.005,-0.012,-0.027
0.005,-0.013,-0.032
0.008,-0.011,-0.025
0.004,-0.008,-0.006
-0.002,-0.008,0.018
-0.009,-0.009,0.029
-0.014,-0.006,0.018
-0.014,-0.004,-0.007
-0.011,-0.009,-0.028
-0.009,-0.025,-0.032
-0.007,-0.041,-0.024
0.000,-0.043,-0.014
0.012,-0.028,-0.010
0.021,-0.007,-0.010
0.018,0.004,-0.013
0.003,0.002,-0.016
-0.012,-0.005,-0.020
-0.010,-0.012,-0.019
0.011,-0.018,-0.011
0.035,-0.020,0.003
0.037,-0.016,0.014
0.009,-0.005,0.012
-0.027,0.004,-0.007
-0.038,0.001,-0.033
-0.008,-0.014,-0.045
0.045,-0.024,-0.027
0.074,-0.016,0.012
0.054,0.003,0.043
0.000,0.012,0.039
-0.043,-0.001,0.002
-0.039,-0.024,-0.041
0.004,-0.032,-0.057
0.048,-0.019,-0.040
0.061,0.002,-0.006
0.043,0.008,0.019
0.013,-0.001,0.022
-0.006,-0.011,0.011
-0.011,-0.007,-0.000
-0.003,0.006,-0.006
0.009,0.014,-0.004
0.018,0.010,0.002
0.017,0.002,0.006
0.007,-0.003,0.004
0.002,0.000,-0.002
0.013,0.004,-0.004
0.030,0.006,0.003
0.032,0.009,0.014
0.005,0.015,0.017
-0.028,0.019,0.005
-0.035,0.012,-0.014
-0.005,0.000,-0.023
0.030,-0.006,-0.014
0.037,0.002,0.005
0.011,0.016,0.017
-0.015,0.020,0.017
-0.010,0.008,0.011
0.018,-0.004,0.011
0.037,0.000,0.019
0.019,0.018,0.022
-0.020,0.030,0.007
-0.046,0.021,-0.022
-0.036,0.000,-0.047
0.002,-0.005,-0.048
0.041,0.010,-0.022
0.056,0.033,0.016
0.043,0.038,0.041
0.013,0.024,0.044
-0.018,0.009,0.027
-0.034,0.006,0.001
-0.027,0.012,-0.021
-0.003,0.015,-0.029
0.021,0.011,-0.022
0.031,0.007,-0.002
0.028,0.010,0.023
0.023,0.016,0.042
0.024,0.021,0.051
0.018,0.025,0.046
-0.011,0.029,0.023
-0.054,0.028,-0.015
-0.077,0.013,-0.057
-0.048,-0.011,-0.080
0.023,-0.024,-0.064
0.092,-0.012,-0.016
0.111,0.017,0.038
0.075,0.034,0.071
0.016,0.021,0.071
-0.025,-0.009,0.049
-0.029,-0.027,0.019
-0.009,-0.016,-0.004
0.014,0.008,-0.016
0.020,0.019,-0.020
0.009,0.008,-0.023
-0.002,-0.010,-0.029
0.008,-0.015,-0.030
0.038,-0.004,-0.016
0.059,0.011,0.011
0.043,0.020,0.030
-0.010,0.020,0.022
-0.052,0.012,-0.009
-0.039,-0.001,-0.030
0.018,-0.012,-0.024
0.064,-0.012,0.002
0.056,0.003,0.014
0.005,0.020,-0.000
-0.034,0.021,-0.021
-0.024,0.002,-0.016
0.013,-0.015,0.017
0.024,-0.008,0.045
-0.011,0.019,0.027
-0.057,0.036,-0.032
-0.064,0.022,-0.085
-0.015,-0.012,-0.088
0.049,-0.032,-0.040
0.077,-0.016,0.019
0.053,0.019,0.047
0.005,0.034,0.036
-0.029,0.016,0.015
-0.035,-0.018,0.007
-0.025,-0.032,0.010
-0.014,-0.013,0.005
-0.009,0.017,-0.015
-0.005,0.026,-0.038
0.002,0.005,-0.043
0.012,-0.022,-0.025
0.022,-0.029,0.001
0.023,-0.009,0.016
0.009,0.017,0.014
-0.016,0.022,-0.002
-0.033,0.003,-0.016
-0.021,-0.019,-0.020
0.022,-0.020,-0.007
0.062,0.000,0.013
0.061,0.023,0.024
0.014,0.023,0.013
-0.037,-0.003,-0.015
-0.046,-0.032,-0.036
-0.003,-0.038,-0.026
0.048,-0.011,0.009
0.056,0.029,0.036
0.014,0.043,0.023
-0.029,0.014,-0.022
-0.020,-0.037,-0.053
0.039,-0.069,-0.032
0.089,-0.051,0.022
0.077,0.000,0.055
0.012,0.034,0.032
-0.038,0.018,-0.020
-0.027,-0.033,-0.041
0.030,-0.067,-0.009
0.070,-0.051,0.037
0.057,-0.001,0.048
0.014,0.032,0.014
-0.015,0.019,-0.025
-0.011,-0.018,-0.031
0.008,-0.034,-0.011
0.023,-0.012,0.007
0.032,0.021,0.007
0.039,0.022,0.007
0.038,-0.011,0.017
0.019,-0.044,0.030
-0.007,-0.042,0.025
-0.017,-0.011,-0.001
0.000,0.016,-0.029
0.029,0.008,-0.039
0.046,-0.022,-0.023
0.043,-0.042,0.006
0.032,-0.034,0.035
0.018,-0.007,0.046
0.002,0.012,0.032
-0.014,0.006,-0.005
-0.015,-0.017,-0.040
