SITE CODE= 47254è„âzésíÜÉmñì            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 15.25, 26.04
 LAT.=   37.1063
 LON.=  138.1601
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 10
 NS,EW,UD
-0.077,-0.129,-0.042
-0.107,-0.147,-0.026
-0.126,-0.153,-0.013
-0.130,-0.150,-0.003
-0.123,-0.145,0.006
-0.111,-0.143,0.015
-0.104,-0.143,0.023
-0.110,-0.145,0.027
-0.134,-0.146,0.029
-0.174,-0.145,0.031
-0.220,-0.137,0.039
-0.259,-0.124,0.052
-0.283,-0.106,0.064
-0.294,-0.089,0.068
-0.294,-0.073,0.060
-0.288,-0.060,0.042
-0.274,-0.047,0.024
-0.248,-0.030,0.018
-0.206,-0.007,0.030
-0.152,0.026,0.055
-0.099,0.067,0.082
-0.062,0.108,0.099
-0.052,0.148,0.102
-0.066,0.187,0.094
-0.092,0.225,0.082
-0.115,0.258,0.071
-0.125,0.278,0.060
-0.119,0.281,0.048
-0.098,0.266,0.032
-0.062,0.236,0.014
-0.014,0.194,-0.003
0.040,0.145,-0.019
0.096,0.092,-0.035
0.147,0.039,-0.052
0.189,-0.011,-0.066
0.220,-0.056,-0.073
0.242,-0.095,-0.071
0.260,-0.127,-0.061
0.278,-0.154,-0.048
0.293,-0.175,-0.039
0.302,-0.188,-0.033
0.303,-0.188,-0.028
0.302,-0.178,-0.020
0.309,-0.165,-0.010
0.327,-0.160,-0.002
0.352,-0.175,0.001
0.375,-0.205,-0.004
0.389,-0.244,-0.012
0.392,-0.278,-0.016
0.387,-0.302,-0.007
0.375,-0.311,0.014
0.358,-0.306,0.038
0.334,-0.285,0.053
0.302,-0.249,0.053
0.261,-0.206,0.043
0.210,-0.162,0.032
0.155,-0.121,0.029
0.098,-0.085,0.034
0.040,-0.052,0.042
-0.021,-0.021,0.046
-0.085,0.011,0.046
-0.145,0.051,0.044
-0.194,0.097,0.042
-0.225,0.145,0.042
-0.242,0.190,0.042
-0.251,0.227,0.042
-0.259,0.255,0.039
-0.267,0.272,0.030
-0.272,0.278,0.016
-0.271,0.276,-0.002
-0.263,0.273,-0.017
-0.257,0.274,-0.024
-0.261,0.284,-0.025
-0.281,0.299,-0.024
-0.314,0.312,-0.022
-0.347,0.315,-0.017
-0.364,0.302,-0.009
-0.352,0.273,-0.005
-0.308,0.236,-0.009
-0.245,0.197,-0.027
-0.185,0.163,-0.053
-0.143,0.139,-0.080
-0.121,0.123,-0.099
-0.107,0.108,-0.102
-0.090,0.087,-0.089
-0.059,0.057,-0.065
-0.015,0.024,-0.044
0.037,-0.004,-0.031
0.083,-0.029,-0.028
0.112,-0.054,-0.031
0.121,-0.079,-0.037
0.114,-0.105,-0.042
0.101,-0.132,-0.044
0.082,-0.160,-0.042
0.059,-0.186,-0.036
0.028,-0.207,-0.031
-0.002,-0.220,-0.026
-0.023,-0.227,-0.021
-0.027,-0.229,-0.010
-0.014,-0.226,0.011
0.011,-0.218,0.043
0.039,-0.207,0.081
0.062,-0.195,0.115
0.078,-0.184,0.138
0.087,-0.175,0.146
0.095,-0.164,0.144
0.106,-0.147,0.138
0.121,-0.123,0.133
0.138,-0.097,0.129
0.149,-0.075,0.125
0.149,-0.062,0.119
0.142,-0.058,0.115
0.135,-0.058,0.117
0.134,-0.060,0.126
0.136,-0.059,0.138
0.141,-0.053,0.145
0.144,-0.044,0.141
0.148,-0.041,0.126
0.152,-0.048,0.104
0.156,-0.063,0.080
0.156,-0.079,0.057
0.146,-0.087,0.030
0.121,-0.081,-0.003
0.075,-0.061,-0.037
0.012,-0.031,-0.065
-0.056,-0.000,-0.080
-0.113,0.022,-0.082
-0.146,0.029,-0.078
-0.156,0.021,-0.079
-0.148,0.003,-0.089
-0.135,-0.021,-0.106
-0.130,-0.046,-0.126
-0.138,-0.070,-0.141
-0.162,-0.087,-0.147
-0.192,-0.092,-0.139
-0.219,-0.081,-0.116
-0.230,-0.054,-0.085
-0.224,-0.015,-0.058
-0.201,0.025,-0.044
-0.169,0.058,-0.047
-0.132,0.079,-0.061
-0.096,0.092,-0.078
-0.069,0.101,-0.089
-0.055,0.112,-0.093
-0.055,0.128,-0.089
-0.062,0.148,-0.082
-0.063,0.168,-0.075
-0.046,0.180,-0.069
-0.010,0.182,-0.063
0.035,0.180,-0.053
0.077,0.178,-0.039
0.103,0.177,-0.018
0.109,0.176,0.009
0.100,0.173,0.038
0.081,0.169,0.063
0.063,0.167,0.080
0.054,0.170,0.087
0.057,0.174,0.085
0.066,0.176,0.075
0.078,0.169,0.061
0.088,0.148,0.050
0.096,0.108,0.046
0.099,0.055,0.053
0.094,-0.003,0.067
0.078,-0.056,0.084
0.053,-0.100,0.100
0.021,-0.138,0.106
-0.012,-0.174,0.100
-0.040,-0.209,0.078
